No;Kode;Kab/Kota;Tahun;Latitude;Longitude;Y;X1;X2;X3;X4;X5
78;24;KOTA DEPOK;2020;-6.394473;106.822692;2.45;9.87;15281;11.28;1077600;63.96
79;25;KOTA CIMAHI;2020;-6.87121;107.555486;5.11;13.3;12025;10.96;254699;62.67
80;26;KOTA TASIKMALAYA;2020;-7.316436;108.1971;12.97;7.99;10263;9.33;315844;66.54
81;27;KOTA BANJAR;2020;-7.362487;108.55887;6.09;6.73;10535;8.63;91602;67.35
82;1;KABUPATEN BOGOR;2019;-6.479679;106.824965;6.66;9.06;10683;8.29;2538637;65.42
83;2;KABUPATEN SUKABUMI;2019;-6.915727;106.932576;6.22;7.99;8973;7.02;1031213;62.68
84;3;KABUPATEN CIANJUR;2019;-6.822558;107.139542;9.15;9.72;8290;6.97;976058;66.14
85;4;KABUPATEN BANDUNG;2019;-7.012851;107.528627;5.94;5.48;10502;8.79;1688206;65.38
86;5;KABUPATEN GARUT;2019;-7.202988;107.885592;8.98;7.28;8099;7.51;1071026;62.7
87;6;KABUPATEN TASIKMALAYA;2019;-7.361212;108.112488;9.12;6.25;8092;7.17;813411;66.66
88;7;KABUPATEN CIAMIS;2019;-7.325788;108.3514;6.65;5.1;9557;7.69;593039;67.56
89;8;KABUPATEN KUNINGAN;2019;-6.976233;108.482982;11.41;9.61;9673;7.38;453781;61.31
90;9;KABUPATEN CIREBON;2019;-6.764507;108.478858;9.94;10.28;10670;6.71;955506;65.38
91;10;KABUPATEN MAJALENGKA;2019;-6.836531;108.227876;10.06;4.37;9822;7.09;600450;67.97
92;11;KABUPATEN SUMEDANG;2019;-6.861126;107.920102;9.05;7.63;10406;8.27;526229;63.98
93;12;KABUPATEN INDRAMAYU;2019;-6.327234;108.322903;11.11;8.28;10090;5.99;818449;67.89
94;13;KABUPATEN SUBANG;2019;-6.571549;107.762495;8.12;8.59;11012;6.85;762065;67.88
95;14;KABUPATEN PURWAKARTA;2019;-6.551701;107.446541;7.48;9.65;11819;7.92;406779;63.93
96;15;KABUPATEN KARAWANG;2019;-6.301721;107.30529;7.39;9.61;11856;7.65;1013472;63.62
97;16;KABUPATEN BEKASI;2019;-6.364614;107.172509;4.01;8.94;11610;8.84;1619175;64.03
98;17;KABUPATEN BANDUNG BARAT;2019;-6.840651;107.512302;9.38;8.17;8684;8.18;704266;62.09
99;18;KABUPATEN PANGANDARAN;2019;-7.701397;108.495155;7.71;4.48;9423;7.67;223517;75.18
100;19;KOTA BOGOR;2019;-6.594946;106.794913;5.77;9.1;11825;10.32;486867;63.73
101;20;KOTA SUKABUMI;2019;-6.918366;106.931496;6.67;8.44;11204;9.58;140827;62.56
102;21;KOTA BANDUNG;2019;-6.910786;107.609757;3.38;8.16;17254;10.74;1183193;65.98
103;22;KOTA CIREBON;2019;-6.707076;108.557818;8.41;8.98;11930;9.9;138667;62.84
104;23;KOTA BEKASI;2019;-6.236221;106.994293;3.81;8.23;16157;11.1;1383287;65.7
105;24;KOTA DEPOK;2019;-6.394473;106.822692;2.07;6.11;15696;11;1112358;65.03
106;25;KOTA CIMAHI;2019;-6.87121;107.555486;4.39;8.08;12448;10.95;272553;63.39
107;26;KOTA TASIKMALAYA;2019;-7.316436;108.1971;11.6;6.75;10414;9.13;301081;65.38
108;27;KOTA BANJAR;2019;-7.362487;108.55887;5.5;6.1;10705;8.62;88846;67.69
109;1;KABUPATEN BOGOR;2018;-6.479679;106.824965;7.14;9.75;10323;7.88;2356875;62.71
110;2;KABUPATEN SUKABUMI;2018;-6.915727;106.932576;6.76;7.77;8618;6.8;1027606;62.72
111;3;KABUPATEN CIANJUR;2018;-6.822558;107.139542;9.81;10.16;7874;6.93;881180;60.32
112;4;KABUPATEN BANDUNG;2018;-7.012851;107.528627;6.65;5;10203;8.58;1575661;61.89
113;5;KABUPATEN GARUT;2018;-7.202988;107.885592;9.27;7.07;7597;7.5;1018544;60.13
114;6;KABUPATEN TASIKMALAYA;2018;-7.361212;108.112488;9.85;6.83;7761;7.13;774131;64.23
115;7;KABUPATEN CIAMIS;2018;-7.325788;108.3514;7.22;4.6;9190;7.6;583910;66.85
116;8;KABUPATEN KUNINGAN;2018;-6.976233;108.482982;12.22;8.99;9297;7.36;432549;58.65
117;9;KABUPATEN CIREBON;2018;-6.764507;108.478858;10.7;10.56;10212;6.62;890762;61.85
118;10;KABUPATEN MAJALENGKA;2018;-6.836531;108.227876;10.79;4.95;9416;6.91;572120;65.76
119;11;KABUPATEN SUMEDANG;2018;-6.861126;107.920102;9.76;7.52;10153;8.17;507378;62.01
120;12;KABUPATEN INDRAMAYU;2018;-6.327234;108.322903;11.89;8.36;9633;5.98;776017;65.04
121;13;KABUPATEN SUBANG;2018;-6.571549;107.762495;8.67;8.65;10715;6.84;711978;64.41
122;14;KABUPATEN PURWAKARTA;2018;-6.551701;107.446541;7.99;9.89;11372;7.75;395512;63.19
123;15;KABUPATEN KARAWANG;2018;-6.301721;107.30529;8.06;9.05;11277;7.35;1026586;64.77
124;16;KABUPATEN BEKASI;2018;-6.364614;107.172509;4.37;9.69;11155;8.84;1472432;61.46
125;17;KABUPATEN BANDUNG BARAT;2018;-6.840651;107.512302;10.06;8.5;8329;7.97;683877;61.34
126;18;KABUPATEN PANGANDARAN;2018;-7.701397;108.495155;8.12;3.58;8968;7.58;231582;77.91
127;19;KOTA BOGOR;2018;-6.594946;106.794913;5.93;9.65;11348;10.3;471775;63.21
128;20;KOTA SUKABUMI;2018;-6.918366;106.931496;7.12;8.48;10609;9.53;132848;59.7
129;21;KOTA BANDUNG;2018;-6.910786;107.609757;3.57;8.01;16630;10.63;1107986;61.98
130;22;KOTA CIREBON;2018;-6.707076;108.557818;8.88;9.06;11397;9.89;148033;68.03
131;23;KOTA BEKASI;2018;-6.236221;106.994293;4.11;9.07;15755;11.09;1325953;65.3
132;24;KOTA DEPOK;2018;-6.394473;106.822692;2.14;6.64;15262;10.85;1028292;62.64
133;25;KOTA CIMAHI;2018;-6.87121;107.555486;4.94;7.93;11921;10.94;273955;64.49
134;26;KOTA TASIKMALAYA;2018;-7.316436;108.1971;12.71;6.85;9855;9.04;287233;62.75
135;27;KOTA BANJAR;2018;-7.362487;108.55887;5.7;5.89;10329;8.6;85113;65.09
136;1;KABUPATEN BOGOR;2017;-6.479679;106.824965;8.57;9.55;9901;7.84;2351753;64.07
137;2;KABUPATEN SUKABUMI;2017;-6.915727;106.932576;8.04;7.66;8263;6.79;1037532;63.75
